,title,artist,featuring
0,pareja del año,"myke towers,   sebastián yatra",no feat
1,fiel,"jhay cortez,  los legendarios,  wisin",no feat
2,flamenco y bachata,daviles de novelda,no feat
3,am,"flow la movie,  nio garcía",no feat
4,búmeran,beluga,no feat
5,911,sech,no feat
6,el makinon,karol g,no feat
7,"snow tha product: bzrp music sessions, vol. 39","bizarrap,  snow tha product",no feat
8,tú me dejaste de querer,c. tangana, niño de elche & la húngara
9,solo,"ana mena,  omar montes,  maffio",no feat
10,bandido,"myke towers,  juhn",no feat
11,me fijé,"rauw alejandro,  alex rose",no feat
12,aloha,"beele,  rauw alejandro,  maluma"," darell, mambo kingz & dj luian"
13,ram pam pam,"natti natasha,  becky g.",no feat
14,ella no es tuya remix,"rochy rd,  nicki nicole,  myke towers",no feat
15,juramento eterno de sal,alvaro de luna,no feat
16,the four horsemen,aphrodite's child,no feat
17,location,"j balvin,  karol g,  anuel aa",no feat
18,montero call me by your name,lil nas x,no feat
19,2/catorce,"mr. naisgai,  rauw alejandro",no feat
20,ni una más,aitana,no feat
21,la noche de anoche,"rosalía,  bad bunny",no feat
22,through the roof,oscar carl soderberg,no feat
23,peaches,justin bieber, daniel caesar & givēon
24,friday,"nightcrawlers,  riton", mufasa & hypeman [dopamine re-edit]
25,512,"jhay cortez,  mora",no feat
26,pin pin,myke towers,no feat
27,the little giant,sebastian arno sprenger,no feat
28,dakiti,"jhay cortez,  bad bunny",no feat
29,la historia,"el taiger,  dj conds",no feat
30,travesuras,"ozuna,  casper mágico,  nio garcía"," wisin & yandel, myke towers & flow la movie [remix]"
31,sevilla mundial,josé nieto,no feat
32,vida de rico,camilo,no feat
33,turandot: nessun doma!,"orchestra da camera di bologna,  leone magiera,  luciano pavarotti",no feat
34,millones,camilo,no feat
35,ingobernable,"tonino baliardo,  c. tangana,  gipsy kings,  nicolas reyes",no feat
36,las nenas,"farina,  natti natasha,  cazzu", la duraca
37,"the ecstasy of gold from ""the good the bad and the ugly""",yasuto tanaka,no feat
38,baila conmigo,"selena gomez,  rauw alejandro",no feat
39,vaudeville,paul bonneau,no feat
40,save your tears remix,"the weeknd,  ariana grande",no feat
41,mírenme ahora,myke towers,no feat
42,"ra, ra, ra",benito moreno,no feat
43,no me lo creo,nyno vargas,no feat
44,amor en coma,"manuel turizo,  maluma",no feat
45,sal y perrea,sech,no feat
46,wao,sech,no feat
47,northwest wind,hans johnson,no feat
48,la curiosidad,nesty,no feat
49,kesi,camilo,no feat
50,el partidazo cope,huecco,no feat
51,real apps,peter jeremias,no feat
52,vida de rico,la novel de martín guevara,no feat
53,bringing the happy,"david cleveland,  tom snider",no feat
54,"l-gante: bzrp music sessions, vol.38","l-gante,  bizarrap",no feat
55,sudores fríos,"recycled j,  natos y waor",no feat
56,your power,billie eilish,no feat
57,levitating,dua lipa, dababy
58,hopeful road,inspired music,no feat
59,de pies a cabeza,pedro infante,no feat
60,fellini's stories,"fabio di bari,  giulio vetrone,  daniele benati",no feat
61,explícito,myke towers,no feat
62,"vuelve, vuelve","danna paola,  david bisbal",no feat
63,my head & my heart,ava max,no feat
64,machu picchu,camilo,no feat
65,conexión,"justin quiles,  jay wheeler,  foreign teck"," bryant myers, eladio carrión & tory lanez"
66,christian dior,jhay cortez,no feat
67,hypnotized,"sophie and the giants,  purple disco machine",no feat
68,la nota,"manuel turizo,  myke towers,  rauw alejandro",no feat
69,canción bonita,"carlos vives,  ricky martin",no feat
70,"skippety skip, pt. 2",thierry caroubi,no feat
71,decidida,la xinni,no feat
72,news flash,warner/chappell productions,no feat
73,hecha pa' mi,boza,no feat
74,a un passo dalla luna,"ana mena,  rocco hunt",no feat
75,rainbow riders,zest music,no feat
76,la cartita,"rasel,  keen levy",no feat
77,diamonds,sam smith,no feat
78,la mamá de la mamá,"el alfa,  chael produciendo,  cj", el cherry scom
79,la promesa,manga corta,no feat
80,le gusta que la vean,lunay,no feat
81,you need to calm down,taylor swift,no feat
82,big sky,warner/chappell productions,no feat
83,amoralí with potito,vicente amigo,no feat
84,tiroteo remix,"rauw alejandro,  pol granch,  marc segui",no feat
85,11 razones,aitana,no feat
86,otra noche sin ti,"j balvin,  khalid",no feat
87,el pony,daddy yankee,no feat
88,beautiful cells,sebastien gulluni,no feat
89,a un paso de la luna,"ana mena,  rocco hunt",no feat
90,porfa no te vayas,"morat,  beret",no feat
91,dynamite,bts,no feat
92,ringui dingui,kase.o, sfdk
93,play ball,ac/dc,no feat
94,i promised myself,nick kamen,no feat
95,kiss me more,doja cat, sza
96,jerusalema,master kg, nomcebo zikode [edit]
97,poblado,"totoy el frio,  natan & shander,  crissin",no feat
98,sonqueson,la pegatina,no feat
99,inside news,warner/chappell productions,no feat
0,body,"tion wayne,   russ millions",no feat
1,peaches,justin bieber, daniel caesar & givēon
2,kiss me more,doja cat, sza
3,montero call me by your name,lil nas x,no feat
4,confetti,little mix, saweetie
5,something for the pain,ad brown, renee six
6,body remix [,"tion wayne,  russ millions"," arrdee, e1 3x3, zt 3x3, bugzy malone, buni, fivio foreign & darkoo]"
7,friday,"nightcrawlers,  riton", mufasa & hypeman [dopamine re-edit]
8,levitating,dua lipa, dababy
9,your power,billie eilish,no feat
10,let’s go home together,"tom grennan,  ella henderson",no feat
11,rapstar,polo g,no feat
12,the business,tiësto,no feat
13,little bit of love,tom grennan,no feat
14,starstruck,years & years,no feat
15,ferrari horses,"raye,  d-block europe",no feat
16,save your tears remix,"the weeknd,  ariana grande",no feat
17,believe me,navos,no feat
18,bed,"joel corry,  raye,  david guetta",no feat
19,head & heart,joel corry, mnek
20,didn't know,tom zanetti,no feat
21,goosebumps remix,"travis scott,  hvme",no feat
22,patience,ksi, yungblud & polo g
23,dancing in the moonlight,jubel, neimy
24,get out my head,shane codd,no feat
25,leave the door open,"anderson .paak,  silk sonic,  bruno mars",no feat
26,my head & my heart,ava max,no feat
27,don't play,"digital farm animals,  anne-marie,  ksi",no feat
28,midnight sky,miley cyrus,no feat
29,blinding lights,the weeknd,no feat
30,heat,"paul woolford,  amber mark",no feat
31,latest trends,a1 x j1,no feat
32,we're good,dua lipa,no feat
33,commitment issues,central cee,no feat
34,your love 9pm,"topic,  a7s,  atb",no feat
35,calling my phone,"6lack,  lil tjay",no feat
36,deja vu,olivia rodrigo,no feat
37,don't you worry about me,bad boy chiller crew,no feat
38,drivers license,olivia rodrigo,no feat
