,title,artist,duration_ms,explicit,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url
0,2K,Nosaj Thing,152560,False,0,spotify:track:33xMbeHzmWd6Od0BmLZEUs,0.31,0.445,7,-13.355,0,0.0863,0.094,0.0678,0.113,0.122,95.36,https://api.spotify.com/v1/tracks/33xMbeHzmWd6Od0BmLZEUs,https://api.spotify.com/v1/audio-analysis/33xMbeHzmWd6Od0BmLZEUs
1,4 Billion Souls,The Doors,197706,False,22,spotify:track:3UnyplmZaq547hwsfOR5yy,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy
2,4 Minute Warning,Radiohead,244284,False,0,spotify:track:1w8QCSDH4QobcQeT4uMKLm,0.354,0.302,9,-13.078,1,0.0326,0.59,0.0709,0.111,0.223,123.753,https://api.spotify.com/v1/tracks/1w8QCSDH4QobcQeT4uMKLm,https://api.spotify.com/v1/audio-analysis/1w8QCSDH4QobcQeT4uMKLm
3,7 Element,Vitas,249939,False,0,spotify:track:7J9mBHG4J2eIfDAv5BehKA,0.727,0.785,5,-6.707,0,0.0603,0.325,0.126,0.31,0.96,129.649,https://api.spotify.com/v1/tracks/7J9mBHG4J2eIfDAv5BehKA,https://api.spotify.com/v1/audio-analysis/7J9mBHG4J2eIfDAv5BehKA
4,#9 Dream,R.E.M.,278320,False,4,spotify:track:1VZedwJj1gyi88WFRhfThb,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb
5,#9 Dream,a-ha,247066,False,8,spotify:track:3DSmOF7ETJHAQEqqgoSJao,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao
6,10 Lovers,The Black Keys,213226,False,49,spotify:track:5HPnumlogzZtpLEaORZjz1,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1
7,11th Dimension,Julian Casablancas,243333,False,53,spotify:track:6i99ThziImjuFABb8rUQvy,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy
8,12:51,The Strokes,153133,False,0,spotify:track:0nkLI0pdyTRpq7BsTFBufZ,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,https://api.spotify.com/v1/tracks/0nkLI0pdyTRpq7BsTFBufZ,https://api.spotify.com/v1/audio-analysis/0nkLI0pdyTRpq7BsTFBufZ
9,12:51,The Strokes,153133,False,61,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK
10,12 Bar Original - Anthology 2 Version,The Beatles,175080,False,27,spotify:track:2HvTGx5fzFGpHSyRNvXd9T,0.6,0.535,9,-8.178,1,0.0298,0.00154,0.102,0.123,0.566,122.678,https://api.spotify.com/v1/tracks/2HvTGx5fzFGpHSyRNvXd9T,https://api.spotify.com/v1/audio-analysis/2HvTGx5fzFGpHSyRNvXd9T
11,15 Minutes,The Strokes,273133,False,0,spotify:track:2XS4lIQ1bl9KSNsYtkqK46,0.337,0.885,2,-3.566,1,0.0419,0.004,0.0378,0.141,0.389,83.001,https://api.spotify.com/v1/tracks/2XS4lIQ1bl9KSNsYtkqK46,https://api.spotify.com/v1/audio-analysis/2XS4lIQ1bl9KSNsYtkqK46
12,15 Step,Radiohead,237293,False,0,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,https://api.spotify.com/v1/tracks/6dsq7Nt5mIFzvm5kIYNORy,https://api.spotify.com/v1/audio-analysis/6dsq7Nt5mIFzvm5kIYNORy
